database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,326817,Arthur L. Corcoran and Roger L. Wainwright,,,,A Parallel Island Model Genetic Algorithm for the Multiprocessor Scheduling Problem,483--487,,5,"genetic algorithms, multiprocessor scheduling, parallel island model, parallel processing",10.1145/326619.326817,,,,,,,1994,,Proceedings of the 1994 ACM Symposium on Applied Computing,SAC '94,,0-89791-647-6,"Phoenix, Arizona, USA",ACM,"New York, NY, USA"
ACM-DL,article,2433920,Nara  Yeon and Taesik  Lee and Hoon  Jang,,,,Outpatients Appointment Scheduling with Multi-doctor Sharing Resources,3318--3329,,12,,,,,,,,,2010,,Proceedings of the Winter Simulation Conference,WSC '10,,978-1-4244-9864-2,"Baltimore, Maryland",Winter Simulation Conference,
ACM-DL,article,1835726,Andrea  Richa and Jin  Zhang and Christian  Scheideler and Stefan  Schmid,,,,Brief Announcement: Towards Robust Medium Access in Multi-hop Networks,114--115,,2,"jamming, mac protocols, wireless ad-hoc networks",10.1145/1835698.1835726,,,,,,,2010,,Proceedings of the 29th ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,PODC '10,,978-1-60558-888-9,"Zurich, Switzerland",ACM,"New York, NY, USA"
ACM-DL,article,383733,Allen  Leung and Krishna V. Palem and Amir  Pnueli,,,,Scheduling Time-constrained Instructions on Pipelined Processors,73--103,,31,,10.1145/383721.383733,ACM Trans. Program. Lang. Syst.,Jan. 2001,23,1,,January,2001,0164-0925,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,321433,Lewis T. Reinwald and Richard M. Soland,,,,Conversion of Limited-Entry Decision Tables to Optimal Computer Programs II: Minimum Storage Requirement,742--756,,15,,10.1145/321420.321433,J. ACM,Oct. 1967,14,4,,October,1967,0004-5411,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,3192462,Shatha  Jaradat and Nima  Dokoohaki and Mihhail  Matskin and Elena  Ferrari,,,,Trust and Privacy Correlations in Social Networks: A Deep Learning Framework,203--206,,4,,,,,,,,,2016,,Proceedings of the 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM '16,,978-1-5090-2846-7,"Davis, California",IEEE Press,"Piscataway, NJ, USA"
ACM-DL,article,564143,Jay  April and Fred  Glover and James  Kelly and Manuel  Laguna,,,,Optimization and System Selection: Simulation/Optimization Using Real-world Applications,134--138,,5,,,,,,,,,2001,,Proceedings of the 33Nd Conference on Winter Simulation,WSC '01,,0-7803-7309-X,"Arlington, Virginia",IEEE Computer Society,"Washington, DC, USA"
ACM-DL,article,508336,Aleksandra  Smiljani&#263;,,,,Flexible Bandwidth Allocation in High-capacity Packet Switches,287--293,,7,"packet switching, scalability, scheduling, switch with input buffers",10.1109/90.993308,IEEE/ACM Trans. Netw.,April 2002,10,2,,April,2002,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA"
ACM-DL,article,2668289,Souad  Mekni and Besma Fay&#233;ch Cha&#226;r,,,,An Enhanced PSO-based Algorithm for Multiobjective Flexible Job Shop Scheduling Problems(FJSSPs),30:178--30:182,30,5,"Nature Inspired computing, Particle Swarm Optimization, Swarm intelligence, TRIBES, multiobjective flexible job shop scheduling problems",10.1145/2668260.2668289,,,,,,,2014,,Proceedings of the 6th International Conference on Management of Emergent Digital EcoSystems,MEDES '14,,978-1-4503-2767-1,"Buraidah, Al Qassim, Saudi Arabia",ACM,"New York, NY, USA"
ACM-DL,article,357079,Greg  Nelson and Derek C. Oppen,,,,Simplification by Cooperating Decision Procedures,245--257,,13,,10.1145/357073.357079,ACM Trans. Program. Lang. Syst.,Oct. 1979,1,2,,October,1979,0164-0925,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,811718,Will  Sherwood,,,,A Hybrid Scheduling Technique for Hierarchical Logic Simulators or &Ldquo;Close Encounters of the Simulated Kind&Rdquo;,249--254,,6,"Event-driven and fixed event list scheduling techniques, Logic Simulation, RT/Gate level descriptions, Software breadboard",,,,,,,,1979,,Proceedings of the 16th Design Automation Conference,DAC '79,,,"San Diego, CA, USA",IEEE Press,"Piscataway, NJ, USA"
ACM-DL,article,2817088,Gautam  Dasarathy and Robert  Nowak and Sebastien  Roch,,,,Data Requirement for Phylogenetic Inference from Multiple Loci: A New Distance Method,422--432,,11,"distance methods, incomplete lineage sorting, molecular clock, multispecies coalescent, phylogenetic inference, sample complexity",10.1109/TCBB.2014.2361685,IEEE/ACM Trans. Comput. Biol. Bioinformatics,March/April 2015,12,2,,March,2015,1545-5963,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA"
ACM-DL,article,2942469,Yi  Fang and Mengtian  Sun and Guoxian  Dai and Karthik  Ramain,,,,The Intrinsic Geometric Structure of Protein-protein Interaction Networks for Protein Interaction Prediction,76--85,,10,"complex network, computational biology, protein protein interaction network",10.1109/TCBB.2015.2456876,IEEE/ACM Trans. Comput. Biol. Bioinformatics,January/February 2016,13,1,,January,2016,1545-5963,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA"
ACM-DL,article,1543993,Zan  Wang and Jin-lan  Liu and Xue  Yu,,,,Self-fertilization Based Genetic Algorithm for University Timetabling Problem,1001--1004,,4,"advisor, genetic algorithm, self-fertilization, simulated annealing, timetabling",10.1145/1543834.1543993,,,,,,,2009,,Proceedings of the First ACM/SIGEVO Summit on Genetic and Evolutionary Computation,GEC '09,,978-1-60558-326-6,"Shanghai, China",ACM,"New York, NY, USA"
ACM-DL,article,1552289,V. S. Anil Kumar and Madhav V. Marathe and Srinivasan  Parthasarathy and Aravind  Srinivasan,,,,A Unified Approach to Scheduling on Unrelated Parallel Machines,28:1--28:31,28,31,"Approximation algorithms, randomized rounding, scheduling under multiple criteria",10.1145/1552285.1552289,J. ACM,August 2009,56,5,,August,2009,0004-5411,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,780580,Nikhil  Bansal and Kirk  Pruhs,,,,Server Scheduling in the Lp Norm: A Rising Tide Lifts All Boat,242--250,,9,"flow time, multilevel feedback, resource augmentation, scheduling, shortest elapsed time first, shortest job first, shortest remaining processing time",10.1145/780542.780580,,,,,,,2003,,Proceedings of the Thirty-fifth Annual ACM Symposium on Theory of Computing,STOC '03,,1-58113-674-9,"San Diego, CA, USA",ACM,"New York, NY, USA"
ACM-DL,article,2387350,Joel  Wolf and Andrey  Balmin and Deepak  Rajan and Kirsten  Hildrum and Rohit  Khandekar and Sujay  Parekh and Kun-Lung  Wu and Rares  Vernica,,,,On the Optimization of Schedules for MapReduce Workloads in the Presence of Shared Scans,589--609,,21,"Allocation, Amortization, MapReduce, Optimization, Scheduling, Shared scans",10.1007/s00778-012-0279-5,The VLDB Journal,October   2012,21,5,,October,2012,1066-8888,,,,,,"Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
ACM-DL,article,1088749,Weiguang  Shi and M. H. MacGregor and Pawel  Gburzynski,,,,Load Balancing for Parallel Forwarding,790--801,,12,"Zipf-like distribution, load balancing, parallel IP forwarding",10.1109/TNET.2005.852881,IEEE/ACM Trans. Netw.,August 2005,13,4,,August,2005,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA"
ACM-DL,article,2674802,Jui-Chen  Hsiao and Chih-Hsuan  Wei and Hung-Yu  Kao,,,,Gene Name Disambiguation Using Multi-scope Species Detection,55--62,,8,"biomedical text mining, focus species detection, gene name disambiguation",10.1109/TCBB.2013.139,IEEE/ACM Trans. Comput. Biol. Bioinformatics,January/February 2014,11,1,,January,2014,1545-5963,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA"
ACM-DL,article,2035115,Mumtaz  Ahmad and Ashraf  Aboulnaga and Shivnath  Babu and Kamesh  Munagala,,,,Interaction-aware Scheduling of Report-generation Workloads,589--615,,27,"Business intelligence, Experiment-driven performance modeling, Query interactions, Report generation, Scheduling, Workload management",10.1007/s00778-011-0217-y,The VLDB Journal,August    2011,20,4,,August,2011,1066-8888,,,,,,"Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
ACM-DL,article,380783,Tim  Roughgarden,,,,Stackelberg Scheduling Strategies,104--113,,10,,10.1145/380752.380783,,,,,,,2001,,Proceedings of the Thirty-third Annual ACM Symposium on Theory of Computing,STOC '01,,1-58113-349-9,"Hersonissos, Greece",ACM,"New York, NY, USA"
